"CompoundID","MACCSKeysFingerprints"
"Cmpd11","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 3 0 0 0 0 1 0 0 2 4 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 4 2 1 4 3 0 0 0 1 0 0 0 0 0 5 2 2 0 0 3 0 3 4 4 0 0 0 0 4 2 1 0 0 0 2 3 0 1 0 0 0 2 1 1 4 4 0 2 0 2 0 1 0 0 0 8 2 2 0 4 4 4 2 2 6 0 7 1 2 3 6 1 0 0 0 6 0 2 4 3 18 2 12 6 0 7 0 3 6 3 1"
"Cmpd12","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 2 1 0 0 0 0 0 1 0 0 0 0 2 1 0 0 1 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 2 2 0 1 0 1 0 0 0 0 0 3 0 0 0 0 1 2 0 1 2 0 3 0 0 0 2 0 0 0 0 2 0 0 1 1 4 1 4 2 0 3 0 0 2 1 1"
"Cmpd13","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 5 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 8 0 0 0 0 0 0 3 0 0 1 2 4 3 4 4 0 0 3 2 1 1 0 1 2 2 1 1 1 0 3 2 3 2 1 0 0 0 0 1 2 0 0 6 0 1 1 5 0 0 2 1 1 1 3 5 4 1 1 0 2 0 2 0 1 0 4 1 2 0 1 1 5 2 2 5 1 6 2 0 1 5 1 2 1 12 2 3 2 1 3 14 5 8 5 1 6 0 1 5 3 1"
"Cmpd14","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 3 1 0 0 0 0 3 0 0 1 0 0 1 0 2 0 0 1 0 3 1 0 0 0 3 0 1"
"Cmpd15","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 2 0 0 0 0 1 0 0 1 2 0 1 0 0 1 2 0 0 0 0 1 0 0 1 1 2 1 1 2 0 1 0 1 2 1 1"
"Cmpd16","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 3 0 0 0 0 1 0 2 4 0 0 0 0 2 0 0 0 0 0 0 0 2 2 1 0 0 0 1 1 2 0 0 0 0 1 3 0 3 2 0 1 0 0 0 1 2 2 0 3 2 0 0 0 2 3 1 1 3 0 2 1 0 0 3 3 0 0 2 2 0 1 2 4 9 1 4 3 0 2 0 0 3 2 1"
"Cmpd17","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 3 3 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 1 1 3 1 0 0 0 1 1 1 3 0 0 0 2 0 2 0 1 4 1 3 1 0 0 1 0 1"
"Cmpd18","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 3 3 0 0 0 2 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 1 0 3 0 0 0 0 1 0 1 1 2 0 2 0 0 0 2 3 0 0 0 2 0 1 1 4 2 1 2 2 0 2 0 0 2 0 1"
"Cmpd19","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 2 0 0 0 0 0 5 4 0 0 0 2 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 2 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 5 0 0 0 0 1 0 1 1 2 0 4 0 0 0 2 2 0 0 0 4 0 1 1 3 5 1 4 2 0 4 0 0 2 0 1"
"Cmpd20","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 4 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 3 0 0 0 4 1 0 0 0 1 1 1 4 6 0 0 3 0 0 6 0 0 0 4 0 4 1 1 1 0 6 0 6 0 0 0 0 6 1 1"
