"CompoundID","MACCSKeysFingerprints"
"Cmpd1197","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 1 0 0 0 0 0 1 1 1 0 15 0 0 0 0 1 3 0 1 0 12 13 3 2 2 0 0 0 1 0 0 2 4 1 0 0 0 0 4 15 1 1 0 0 0 0 1 16 0 1 0 4 1 0 0 0 4 0 1"
"Cmpd1198","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1"
"Cmpd1199","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1"
"Cmpd1200","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 1 0 0 1 0 0 0 0 1 6 0 0 10 0 0 0 6 0 0 2 4 0 3 0 0 0 0 1 0 0 1 3 11 5 0 1 4 0 0 0 4 0 1 1 6 3 0 3 0 3 6 3 0 3 7 0 4 1 4 1 0 3 0 6 3 0 0 3 6 4 1"
"Cmpd1201","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 1 2 1 0 0 1 4 0 3 0 1 0 0 1 2 0 0 2 1 2 0 1 1 0 0 0 0 1 0 1 0 0 0 0 1 1 2 0 4 2 4 0 0 2 0 0 0 2 0 0 0 0 0 1 1 0 1 1 1 1 2 2 2 0 0 3 2 2 1 0 0 3 1 1 1 0 1 2 2 2 0 4 1 3 1 0 2 4 1 1 1 0 1 1 2 0 2 6 4 3 4 1 3 0 2 4 2 1"
"Cmpd1202","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 3 1 0 0 0 0 1 0 0 2 0 0 0 0 1 6 0 1 15 0 0 0 7 0 0 2 0 0 0 0 0 0 0 0 0 0 0 3 5 2 0 3 2 0 1 0 2 0 1 3 5 3 0 3 0 3 5 0 0 3 9 0 4 1 2 1 0 3 0 5 3 0 0 3 5 4 1"
"Cmpd1203","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 0 0 0 0 2 0 1 0 5 1 1 1 0 0 0 2 0 1 2 1 0 0 1 1 0 2 0 0 1 1 0 6 0 0 0 0 1 4 0 1 7 0 0 4 1 0 0 3 2 0 4 1 2 2 1 1 0 3 2 1 5 4 0 1 4 0 1 0 1 2 3 0 3 4 3 1 1 3 3 4 1 4 2 1 1 3 1 6 7 4 6 3 4 3 0 3 3 4 1"
"Cmpd1204","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 3 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 2 0 3 0 0 0 0 3 0 1"
"Cmpd1205","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 4 0 0 1 0 0 0 1 0 1 1 0 0 2 3 4 0 1 0 0 1 0 1 4 0 0 0 0 1 8 0 0 5 0 0 2 3 0 0 0 0 0 2 0 2 2 1 1 0 1 1 1 5 6 0 2 1 0 0 1 1 2 2 1 3 1 2 1 1 4 3 2 1 1 3 1 1 2 1 0 7 3 5 3 1 2 0 4 3 5 1"
"Cmpd1206","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 1 0 4 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 6 0 0 0 1 1 0 0 1 4 0 1 1 1 1 0 0 0 1 1 0 0 0 0 1 0 2 1 1 0 0 0 2 0 0 1 0 2 0 1 1 4 2 1 1 0 2 4 1 0 2 0 1 2 1 2 2 2 3 2 4 2 1 0 2 4 2 1"
"Cmpd1207","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 4 0 0 0 0 0 6 0 0 0 0 1 4 0 0 4 0 1 1 0 5 0 0 0 1 1 0 0 0 0 0 0 2 4 5 0 0 0 1 0 1 0 0 2 0 0 0 6 5 1 5 6 1 6 1 0 5 3 1 5 0 2 0 4 8 2 6 5 1 0 1 6 3 1"
"Cmpd1208","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 11 0 0 16 0 0 0 10 0 0 2 4 0 3 0 1 0 0 1 0 0 0 2 8 3 0 0 3 0 0 0 2 1 0 0 3 2 0 2 0 3 3 3 0 2 8 0 2 0 2 0 0 2 0 3 2 0 0 3 3 7 1"
"Cmpd1209","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 4 0 0 0 0 1 0 0 0 6 0 0 0 0 0 6 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 6 4 2 0 0 0 0 2 0 3 1 0 0 0 0 4 6 0 0 18 0 0 0 6 0 0 2 5 0 4 0 4 0 0 4 0 0 3 12 21 9 0 5 12 0 0 0 1 4 1 5 13 5 0 12 0 6 13 4 0 5 12 0 11 1 1 0 0 19 0 13 5 0 0 6 13 8 1"
"Cmpd1210","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 1 3 0 0 1 1 1 3 0 0 0 1 0 1 0 1 0 0 2 0 3 0 0 0 1 3 1 1"
"Cmpd1211","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 2 1 2 0 0 0 2 0 0 0 0 2 0 0 2 5 0 0 2 2 2 5 0 0 0 2 0 2 0 2 0 0 4 0 5 0 0 0 2 5 2 1"
"Cmpd1212","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 5 0 0 0 1 0 3 0 0 0 0 0 0 1 0 3 0 1 0 1 1 0 0 0 1 0 0 0 0 2 1 0 1 1 1 0 0 0 0 0 1 0 1 1 0 0 0 2 5 2 1 0 1 2 0 2 5 0 0 1 0 1 0 4 2 7 2 5 2 0 1 2 1 1"
"Cmpd1213","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 1 3 0 0 1 1 1 3 0 0 0 1 0 1 0 1 0 0 2 0 3 0 0 0 1 3 1 1"
"Cmpd1214","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 5 0 0 0 1 2 0 0 0 2 1 0 1 0 0 0 0 3 0 0 0 1 2 6 1 0 0 0 0 4 0 0 3 0 0 0 0 1 0 4 0 0 0 0 2 1 2 0 0 2 1 1 0 0 0 0 0 0 0 2 0 2 2 0 1 4 2 1 2 3 1 0 2 4 0 0 1 2 0 2 4 2 6 1 4 2 0 3 1 3 1"
"Cmpd1215","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 4 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 2 8 0 0 1 1 0 0 0 0 2 1 3 0 2 0 1 0 0 0 0 0 3 3 7 0 0 0 0 1 2 0 3 1 0 0 1 0 1 0 1 1 0 1 0 3 3 2 1 0 3 0 1 0 2 0 2 0 2 3 2 2 3 3 1 3 1 3 1 3 4 3 1 2 1 3 1 1 3 2 0 8 1 8 3 1 3 0 4 3 4 1"
"Cmpd1216","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 6 0 0 0 0 1 0 0 0 0 3 0 1 0 0 0 0 2 0 0 0 0 0 0 2 1 0 0 1 0 2 1 0 2 0 0 1 0 1 8 0 0 10 0 0 0 6 0 0 2 4 0 3 1 2 1 0 0 1 1 0 1 12 6 1 1 1 0 0 0 0 2 0 1 2 2 1 1 1 3 2 3 0 2 6 0 2 0 0 0 0 2 0 2 2 1 0 3 2 5 1"
"Cmpd1217","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 4 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 3 0 0 0 2 1 0 0 2 6 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 1 1 2 1 0 0 1 1 1 3 2 0 2 1 1 0 0 3 2 2 1 1 0 1 5 1 3 1 3 2 0 1 1 1 1"
"Cmpd1218","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 3 0 0 0 0 0 0 0 0 2 2 0 0 1 0 0 0 4 0 1 0 0 0 3 0 0 0 0 1 0 2 0 6 0 2 0 1 2 0 0 3 2 0 0 0 0 2 2 0 1 2 2 0 0 0 2 1 0 0 0 2 0 1 1 5 7 3 2 0 1 5 0 2 7 0 1 3 1 2 1 7 5 8 5 7 3 0 1 5 1 1"
"Cmpd1219","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 5 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 1 1 2 0 0 0 0 2 0 3 0 1 1 0 2 0 0 0 0 2 0 1 3 1 1 4 0 0 0 0 0 4 0 0 10 0 0 1 7 0 0 0 2 0 0 0 4 1 1 1 0 2 1 1 0 0 0 1 2 0 0 0 1 4 0 1 4 2 1 1 0 1 4 0 1 2 7 0 4 0 1 0 6 5 4 4 2 1 0 1 4 5 1"
"Cmpd1220","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 6 0 0 0 0 0 2 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0 0 2 0 1 0 0 0 0 2 0 0 2 0 0 0 0 1 8 0 0 14 1 0 0 7 0 0 1 1 0 4 0 2 0 0 2 0 0 1 2 6 4 0 1 3 0 0 0 3 2 1 1 7 4 0 2 0 4 7 4 0 4 7 0 5 1 3 1 0 7 0 7 4 0 0 4 7 6 1"
"Cmpd1221","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 3 0 3 0 0 0 0 1 0 0 0 0 1 0 0 2 0 0 0 1 2 0 0 0 0 0 7 3 1 2 2 0 0 4 0 0 0 0 0 1 0 0 1 0 3 3 1 2 1 10 0 0 0 0 0 2 0 0 0 0 1 0 0 2 0 0 0 1 3 2 5 4 0 0 3 5 1 2 0 1 3 2 1 1 0 1 2 5 1 0 4 0 5 2 0 4 4 3 0 0 0 2 4 1 2 4 7 4 3 4 0 5 0 4 4 5 1"
"Cmpd1222","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 2 2 3 1 2 2 0 0 2 0 2 0 0 0 1 0 0 1 2 0 1 1 3 2 1 0 0 0 0 0 2 1 0 0 0 2 0 0 2 0 0 0 2 0 1 4 4 2 0 0 2 0 2 0 0 0 1 0 0 0 0 2 4 0 0 2 2 4 2 1 1 2 0 2 2 1 1 0 0 2 0 10 0 9 2 2 4 0 1 2 2 1"
"Cmpd1223","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 2 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 3 1 2 3 2 2 0 3 1 2 1 0 2 1 0 1 2 2 1 4 2 3 2 2 0 0 1 0 0 2 1 0 2 0 2 1 2 0 0 3 1 2 3 2 5 3 2 1 1 1 1 1 4 2 1 2 0 2 0 1 3 5 4 0 5 2 6 1 0 1 5 3 2 2 3 2 0 4 3 1 17 2 11 5 2 6 0 1 5 4 1"
"Cmpd1224","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 1 0 0 0 1 0 0 1 0 0 3 2 0 0 3 0 2 2 1 0 0 0 0 1 2 0 0 0 0 2 2 1 0 0 0 1 2 0 0 2 1 1 2 0 0 1 1 0 0 0 2 1 1 0 0 4 2 2 1 6 1 3 1 0 1 6 0 1 1 3 1 0 2 4 2 10 3 5 6 1 3 0 1 6 2 1"
"Cmpd1225","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 2 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 3 1 1 1 1 2 0 2 1 1 0 0 2 0 0 3 2 0 0 3 1 1 2 3 0 0 0 0 1 2 1 0 0 0 2 0 1 0 0 0 0 2 0 1 4 2 1 2 0 1 0 1 0 0 0 4 2 2 0 1 4 4 1 2 6 0 4 1 0 1 6 0 1 0 2 2 0 1 4 1 15 2 7 6 0 4 0 1 6 3 1"
"Cmpd1226","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 2 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 3 1 2 3 1 2 0 2 1 1 1 0 2 1 0 3 2 2 1 4 1 4 2 2 0 0 1 0 0 2 1 0 1 0 2 0 1 0 0 1 0 2 0 2 4 2 1 1 1 1 2 1 0 0 1 3 0 2 0 1 3 4 2 1 6 2 5 1 0 1 6 0 1 2 3 2 0 2 3 1 17 4 7 6 2 5 0 1 6 3 1"
"Cmpd1227","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 2 0 0 0 1 7 0 0 2 0 0 2 0 0 0 0 0 0 0 2 0 1 0 0 0 1 1 0 1 1 2 3 0 2 0 0 2 1 1 1 0 1 3 1 0 1 6 1 1 2 2 3 6 0 1 1 2 0 3 0 2 1 2 3 1 6 1 1 0 3 6 3 1"
"Cmpd1228","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 4 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 2 7 0 1 1 1 0 0 0 0 2 2 0 0 0 0 0 0 0 0 1 0 2 3 10 0 0 0 0 0 2 2 2 0 0 0 2 2 0 0 0 0 0 2 1 3 3 2 1 0 4 1 0 1 7 0 1 1 3 6 3 1 3 6 0 2 0 4 0 1 5 2 2 2 0 1 1 0 6 1 2 8 2 9 2 0 4 0 5 2 5 1"
"Cmpd1229","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 6 0 0 11 0 0 0 5 0 1 2 5 0 4 0 0 0 0 1 0 0 1 2 15 6 0 0 4 0 0 0 2 0 0 0 3 3 0 2 0 3 3 4 0 3 5 0 2 0 2 1 0 2 0 3 3 0 0 3 3 4 1"
"Cmpd1230","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 5 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 1 0 0 1 5 0 0 0 0 9 3 3 0 0 0 9 1 5 2 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 3 0 0 3 0 0 3 12 0 0 0 13 3 4 0 0 0 3 3 8 14 0 5 12 0 3 14 0 0 0 15 5 12 3 0 3 8 20 5 14 0 5 0 3 14 4 1"
"Cmpd1231","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 0 1 2 0 0 0 0 4 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 1 4 0 0 2 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 2 1 1 1 0 2 2 0 1 0 0 2 1 0 1 0 1 1 1 0 1 3 0 2 1 0 2 3 0 1 0 0 0 1 0 0 0 4 1 2 3 0 2 0 2 3 2 1"
"Cmpd1232","FingerprintsVector;MACCSKeyCount;166;OrderedNumericalValues;ValuesString;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 1 0 0 0 0 2 0 0 0 1 0 0 2 1 0 0 2 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 2 2 0 0 0 3 1 1 1 4 1 1 0 0 0 4 0 0 1 0 1 0 1 3 1 2 1 2 4 1 1 0 0 4 1 1"
